app_id,student_id,uni_id,program_id,anko_program_type,apply_date,status,decision_days,visa_status,enrollment_date,agent_score
43,29,23,89,6+6,2019-05-02,Rejected,58,N/A,,57
44,30,18,72,6+6,2020-07-15,Enrolled (delayed),44,Approved,2022-08-10,23
45,31,13,52,6+6,2019-06-12,Rejected,37,N/A,,39
46,31,17,65,Fall Bachelor,2019-09-08,Rejected,42,N/A,,43
47,32,45,179,6+6,2019-07-04,Accepted,53,Approved,,11
48,32,3,12,6+6,2019-09-26,Rejected,47,N/A,,19
49,32,43,169,6+6,2019-09-05,Rejected,55,N/A,,24
50,33,26,103,1+4,2020-02-19,Accepted,14,Approved,,32
51,33,33,130,Fall Bachelor,2020-03-29,Withdrawn,29,N/A,,33
52,33,9,33,6+6,2019-11-21,Enrolled,32,Approved,2020-03-30,60
53,34,13,52,6+6,2020-05-20,Enrolled (delayed),42,Approved,2022-03-09,37
54,34,3,11,1+4,2019-05-27,Rejected,79,N/A,,24
55,34,7,25,1+4,2019-06-01,Enrolled,10,Approved,2019-08-25,27
56,36,31,121,1+4,2019-11-22,Rejected,38,N/A,,12
57,36,21,83,6+6,2019-11-28,Rejected,12,N/A,,21
58,37,34,134,Fall Bachelor,2019-10-13,Accepted,21,Pending,,45
59,39,32,125,1+4,2019-05-04,Enrolled,31,Rejected,2019-09-17,26
60,40,9,35,6+6,2019-11-16,Submitted,51,N/A,,33
61,40,10,40,6+6,2019-11-27,Rejected,52,N/A,,17
62,41,16,61,6+6,2019-07-28,Rejected,27,N/A,,37
63,42,18,70,6+6,2019-11-03,Withdrawn,43,N/A,,20
64,42,19,75,6+6,2019-08-01,Enrolled,88,Approved,2020-01-09,37
65,44,31,124,1+4,2020-03-02,Cancelled,50,N/A,,43
66,45,3,9,6+6,2020-09-23,Withdrawn,43,N/A,,17
67,45,35,140,6+6,2020-02-29,Withdrawn,57,N/A,,17
68,48,18,70,6+6,2020-11-18,Enrolled (delayed),78,Approved,2022-03-14,33
69,48,14,55,6+6,2019-03-23,Accepted,41,Approved,,58
70,51,36,144,6+6,2020-09-24,Enrolled (delayed),35,Approved,2022-04-01,26
71,51,19,74,1+4,2020-02-19,Withdrawn,27,N/A,,43
72,51,2,5,6+6,2020-01-11,Cancelled,59,N/A,,45
73,53,32,125,1+4,2020-03-05,Enrolled (delayed),34,Approved,2021-08-30,52
74,53,44,173,1+4,2019-10-31,Accepted,11,Approved,,43
75,56,25,98,6+6,2020-08-12,Cancelled,38,N/A,,31
76,57,31,123,6+6,2021-02-26,Accepted,54,Approved,,37
77,58,48,191,1+4,2020-11-01,Accepted,43,Approved,,34
78,59,42,167,1+4,2020-07-31,Enrolled (delayed),50,Approved,2022-11-18,56
79,61,32,127,1+4,2020-10-21,Cancelled,52,N/A,,38
80,62,36,143,1+4,2021-03-07,Accepted,36,Approved,,45
81,63,1,3,6+6,2020-10-08,Cancelled,44,N/A,,43
82,63,17,66,1+4,2020-11-17,Enrolled (delayed),22,Approved,2024-01-11,53
83,63,10,38,1+4,2020-06-23,Enrolled (delayed),32,Approved,2022-07-31,28
84,64,20,78,6+6,2020-10-10,Enrolled (delayed),33,Approved,2023-06-30,31
85,65,13,50,1+4,2020-05-01,Cancelled,54,N/A,,37
86,65,11,42,6+6,2020-12-26,Withdrawn,58,N/A,,39
87,65,6,22,1+4,2021-01-10,Accepted,81,Approved,,36
88,66,19,75,6+6,2021-10-26,Enrolled (delayed),30,Approved,2023-10-15,13
89,66,18,70,6+6,2021-11-11,Accepted,52,Approved,,27
90,66,18,70,6+6,2021-12-20,Cancelled,52,N/A,,13
91,67,4,14,6+6,2022-04-12,Enrolled (delayed),24,Approved,2023-04-21,45
92,67,28,109,6+6,2022-03-17,Cancelled,83,N/A,,41
93,67,32,125,1+4,2022-02-10,Cancelled,58,N/A,,42
94,67,14,56,1+4,2022-04-05,Withdrawn,61,N/A,,39
95,67,25,97,1+4,2022-03-05,Withdrawn,12,N/A,,36
96,69,19,73,6+6,2021-05-17,Withdrawn,33,N/A,,28
97,69,12,46,6+6,2021-06-27,Cancelled,83,N/A,,30
98,70,1,4,1+4,2022-01-16,Enrolled (delayed),32,Approved,2024-09-27,41
99,70,9,34,6+6,2021-11-17,Withdrawn,10,N/A,,40
100,70,18,70,6+6,2021-12-24,Enrolled (delayed),18,Approved,2024-04-16,26
101,70,10,39,1+4,2021-10-17,Enrolled (delayed),38,Approved,2023-03-31,28
102,70,49,196,1+4,2021-11-21,Cancelled,10,N/A,,37
103,71,20,79,6+6,2022-01-21,Enrolled (delayed),38,Approved,2023-05-22,8
104,71,47,188,6+6,2022-03-25,Withdrawn,28,N/A,,30
105,72,7,28,6+6,2022-12-26,Enrolled (delayed),60,Approved,2025-04-21,44
106,73,10,39,1+4,2022-04-17,Cancelled,50,N/A,,53
107,73,36,143,1+4,2021-12-01,Accepted,10,Approved,,47
108,73,32,127,1+4,2022-01-19,Withdrawn,27,N/A,,50
109,74,9,36,1+4,2023-01-09,Rejected,70,N/A,,43
110,74,10,40,6+6,2023-02-22,Enrolled,25,Approved,2023-06-20,56
111,74,26,104,1+4,2023-01-04,Enrolled,32,Approved,2023-05-05,36
112,74,7,26,1+4,2022-11-04,Accepted,47,Approved,,58
113,75,34,136,Fall Bachelor,2022-11-09,Enrolled (delayed),36,Approved,2025-03-27,38
114,75,8,32,1+4,2022-12-08,Withdrawn,57,N/A,,44
115,76,15,60,1+4,2022-08-12,Accepted,27,Approved,,47
116,77,47,188,6+6,2022-12-04,Withdrawn,41,N/A,,25
117,78,15,59,6+6,2022-04-13,Cancelled,46,N/A,,54
118,78,38,149,1+4,2022-03-05,Accepted,57,Approved,,57
119,79,49,195,6+6,2023-01-28,Enrolled,45,Approved,2023-05-16,25
120,79,3,9,6+6,2023-04-07,Enrolled,60,Approved,2023-08-11,34
121,79,1,4,1+4,2022-03-22,Enrolled (delayed),82,Approved,2023-09-03,24
122,79,6,24,6+6,2022-08-20,Cancelled,48,N/A,,17
123,79,35,137,1+4,2022-05-06,Withdrawn,42,N/A,,33
124,80,45,177,1+4,2022-12-24,Cancelled,45,N/A,,37
125,80,38,152,6+6,2022-12-12,Cancelled,74,N/A,,53
126,81,38,152,6+6,2022-11-01,Withdrawn,58,N/A,,49
127,81,10,37,1+4,2022-11-01,Accepted,80,Approved,,55
128,81,2,5,6+6,2023-03-09,Rejected,17,N/A,,49
129,82,37,148,6+6,2022-12-25,Accepted,58,Approved,,31
130,82,19,73,6+6,2022-10-20,Withdrawn,10,N/A,,27
131,83,24,93,6+6,2022-11-24,Enrolled (delayed),38,Approved,2025-08-05,54
132,83,5,20,6+6,2023-01-25,Enrolled,44,Approved,2023-06-22,60
133,84,27,106,6+6,2022-12-08,Accepted,34,Approved,,55
134,84,46,182,6+6,2023-12-16,Enrolled,68,Approved,2024-05-31,37
135,86,7,26,1+4,2023-11-01,Rejected,49,N/A,,41
136,86,7,27,6+6,2022-07-07,Enrolled (delayed),44,Approved,2023-11-12,33
137,86,25,99,6+6,2022-06-15,Withdrawn,32,N/A,,45
138,87,32,128,1+4,2023-01-12,Enrolled,44,Approved,2023-05-01,26
139,88,39,155,Fall Bachelor,2023-08-08,Enrolled,72,Approved,2023-12-31,30
140,88,26,101,Fall Bachelor,2022-09-15,Cancelled,58,N/A,,42
141,88,39,156,1+4,2022-03-10,Enrolled (delayed),38,Pending,2024-11-07,51
142,88,12,45,Fall Bachelor,2022-10-28,Withdrawn,67,N/A,,34
143,88,9,36,1+4,2022-09-07,Withdrawn,52,N/A,,40
144,89,43,170,6+6,2022-06-19,Withdrawn,27,N/A,,25
145,90,27,106,6+6,2022-12-16,Accepted,51,Approved,,53
146,91,7,27,6+6,2023-12-25,Under Review,28,Pending,,42
147,93,47,188,6+6,2023-04-28,Rejected,23,N/A,,32
148,93,35,137,1+4,2023-06-26,Enrolled,71,Approved,2023-12-15,46
149,94,3,12,6+6,2024-01-27,Accepted,42,Rejected,,47
150,94,8,29,1+4,2024-01-16,Enrolled,49,Approved,2024-06-27,49
151,94,44,176,6+6,2024-11-16,Enrolled,51,Approved,2025-03-22,35
152,94,25,99,6+6,2024-02-24,Enrolled,44,Approved,2024-07-22,49
153,94,5,19,1+4,2023-12-09,Enrolled,63,Approved,2024-05-13,47
154,95,8,30,Master/PhD,2023-08-10,Rejected,55,N/A,,34
155,96,7,25,1+4,2023-10-01,Rejected,66,N/A,,41
156,96,35,139,Fall Bachelor,2024-08-11,Enrolled,42,Pending,2024-12-25,64
157,97,13,51,Fall Bachelor,2024-08-14,Enrolled,24,Rejected,2024-12-18,50
158,97,2,7,6+6,2023-09-04,Rejected,26,N/A,,58
159,97,33,131,6+6,2023-07-10,Enrolled,33,Approved,2023-11-12,44
160,97,39,155,Fall Bachelor,2023-10-21,Enrolled,18,Approved,2024-01-17,40
161,99,2,6,6+6,2023-08-06,Rejected,64,N/A,,31
162,99,20,79,6+6,2023-07-14,Withdrawn,57,N/A,,34
163,100,12,46,6+6,2023-08-01,Enrolled,29,Pending,2023-11-16,49
164,101,35,140,6+6,2023-10-11,Rejected,18,N/A,,32
165,104,20,77,1+4,2023-05-28,Withdrawn,37,N/A,,10
166,105,15,57,1+4,2023-12-18,Withdrawn,41,N/A,,58
167,106,37,148,6+6,2023-10-12,Enrolled,49,Approved,2024-03-25,35
168,106,31,122,6+6,2023-11-27,Enrolled,63,Approved,2024-04-05,31
169,107,30,120,6+6,2023-09-15,Enrolled,51,Rejected,2024-02-07,40
170,108,43,169,6+6,2023-12-28,Enrolled,27,Approved,2024-04-25,21
171,108,30,120,6+6,2023-12-14,Rejected,42,N/A,,29
172,108,9,33,6+6,2023-12-07,Rejected,30,N/A,,24
173,108,50,200,6+6,2024-02-01,Enrolled,42,Approved,2024-06-13,35
174,115,32,126,1+4,2024-09-19,Enrolled,38,Approved,2025-02-18,37
175,116,7,28,6+6,2024-01-01,Enrolled,40,Approved,2024-05-04,50
176,116,5,20,6+6,2023-12-07,Enrolled,54,Approved,2024-05-09,63
177,117,35,137,1+4,2023-08-13,Rejected,67,N/A,,25
178,118,12,46,6+6,2023-08-25,Accepted,44,Approved,,47
179,119,50,200,6+6,2023-07-15,Enrolled,29,Approved,2023-12-10,54
180,119,33,130,Fall Bachelor,2023-09-10,Enrolled,12,Approved,2024-01-14,61
181,122,31,122,6+6,2024-02-13,Rejected,48,N/A,,32
182,122,37,148,6+6,2024-03-17,Enrolled,52,Approved,2024-07-13,40
183,124,5,19,1+4,2023-08-29,Enrolled,22,Pending,2024-01-13,63
184,126,45,179,6+6,2024-01-08,Enrolled,79,Approved,2024-06-08,13
185,126,30,120,6+6,2024-02-09,Rejected,39,N/A,,14
186,126,20,78,6+6,2023-09-01,Rejected,70,N/A,,12
187,126,29,114,6+6,2023-09-05,Rejected,17,N/A,,18
188,126,27,106,6+6,2023-12-04,Withdrawn,37,N/A,,6
189,129,33,131,6+6,2023-10-22,Rejected,10,N/A,,38
190,129,48,190,6+6,2023-06-04,Enrolled,67,Approved,2023-10-17,22
191,130,2,6,6+6,2024-05-04,Enrolled,50,Approved,2024-08-30,47
192,130,18,69,6+6,2023-11-07,Enrolled,46,Approved,2024-03-02,49
193,130,45,180,Fall Bachelor,2023-05-11,Enrolled,104,Approved,2023-12-11,43
194,132,1,3,6+6,2023-10-11,Rejected,10,N/A,,35
195,133,40,160,6+6,2023-07-19,Enrolled,76,Approved,2023-12-18,38
196,134,25,97,1+4,2023-04-26,Enrolled,33,Rejected,2023-09-19,33
197,135,2,5,6+6,2024-02-22,Rejected,16,N/A,,22
198,136,10,37,1+4,2024-01-13,Rejected,68,N/A,,11
199,137,37,145,6+6,2024-10-27,Enrolled,93,Approved,2025-05-18,31
200,139,9,36,1+4,2023-10-27,Enrolled,28,Approved,2024-02-01,52
201,139,17,65,Fall Bachelor,2024-01-16,Withdrawn,28,N/A,,45
202,139,7,26,1+4,2023-10-30,Withdrawn,50,N/A,,41
203,139,31,122,6+6,2024-06-16,Enrolled,58,Approved,2024-10-15,54
204,140,15,60,1+4,2024-03-05,Enrolled,26,Approved,2024-07-24,45
205,141,30,120,6+6,2023-08-13,Accepted,41,Approved,,41
206,141,3,9,6+6,2024-01-01,Under Review,58,Pending,,37
207,141,16,62,1+4,2023-08-04,Enrolled,10,Approved,2023-11-14,35
208,141,37,147,1+4,2023-09-12,Rejected,47,N/A,,32
209,141,35,140,6+6,2023-07-11,Withdrawn,60,N/A,,36
210,142,17,65,Fall Bachelor,2024-03-29,Accepted,85,Approved,,55
211,142,18,70,6+6,2024-03-20,Rejected,43,N/A,,61
212,143,22,85,6+6,2024-05-21,Enrolled,47,Approved,2024-09-19,27
213,143,32,126,1+4,2024-08-10,Rejected,26,N/A,,23
214,144,12,46,6+6,2023-06-12,Enrolled,33,Approved,2023-11-05,15
215,144,18,72,6+6,2023-09-23,Rejected,103,N/A,,28
216,146,34,135,6+6,2023-12-01,Enrolled,28,Approved,2024-04-06,41
217,147,11,42,6+6,2023-11-10,Accepted,11,Approved,,50
218,148,1,3,6+6,2024-08-24,Accepted,53,Approved,,49
219,149,34,134,Fall Bachelor,2024-09-07,Enrolled,55,Rejected,2025-01-10,30
220,149,24,93,6+6,2024-01-12,Enrolled,69,Approved,2024-06-09,44
221,149,48,189,1+4,2023-11-14,Enrolled,48,Approved,2024-03-10,34
222,149,38,150,1+4,2024-02-28,Enrolled,21,Approved,2024-06-06,40
223,149,35,139,Fall Bachelor,2024-10-13,Enrolled,18,Approved,2025-02-22,51
224,151,37,148,6+6,2023-07-01,Under Review,67,Pending,,40
225,152,6,24,6+6,2023-05-21,Rejected,64,N/A,,54
226,152,16,63,1+4,2023-10-23,Enrolled,52,Approved,2024-04-01,30
227,152,20,77,1+4,2023-02-12,Enrolled,49,Approved,2023-06-08,28
228,152,4,15,Fall Bachelor,2024-08-25,Rejected,49,N/A,,51
229,152,19,73,6+6,2023-07-12,Rejected,73,N/A,,32
230,153,8,30,Master/PhD,2024-01-03,Enrolled,25,Approved,2024-05-21,65
231,153,40,157,Master/PhD,2024-01-07,Enrolled,58,Approved,2024-06-22,57
232,154,18,71,Fall Bachelor,2024-03-05,Under Review,41,Pending,,47
233,154,1,3,6+6,2023-11-28,Rejected,26,N/A,,41
234,154,50,198,6+6,2024-01-30,Enrolled,89,Approved,2024-08-18,30
235,156,36,143,1+4,2023-03-22,Enrolled,21,Approved,2023-07-03,44
236,156,46,182,6+6,2023-08-19,Accepted,19,Approved,,40
237,156,4,13,6+6,2023-10-15,Rejected,31,N/A,,30
238,157,32,128,1+4,2024-01-21,Rejected,87,N/A,,43
239,157,42,166,6+6,2024-01-12,Withdrawn,33,N/A,,45
240,157,30,120,6+6,2023-10-18,Rejected,38,N/A,,62
241,158,19,76,6+6,2023-12-19,Enrolled,73,Approved,2024-05-27,31
242,160,43,170,6+6,2023-08-18,Withdrawn,33,N/A,,19
243,161,27,108,Master/PhD,2023-09-22,Enrolled,50,Approved,2024-02-28,50
244,161,23,92,Master/PhD,2023-09-23,Enrolled,36,Rejected,2024-01-25,37
245,163,46,183,1+4,2024-01-10,Enrolled,10,Approved,2024-05-05,28
246,163,42,166,6+6,2024-03-25,Enrolled,35,Approved,2024-07-28,28
247,163,9,33,6+6,2023-11-18,Rejected,61,N/A,,28
248,164,48,189,1+4,2024-11-11,Enrolled,31,Approved,2025-02-16,55
249,164,25,97,1+4,2024-01-05,Enrolled,32,Approved,2024-04-19,31
250,164,23,91,Fall Bachelor,2023-09-27,Enrolled,39,Approved,2024-01-12,45
251,165,33,131,6+6,2024-06-11,Enrolled,61,Rejected,2024-11-29,28
252,166,39,156,1+4,2024-10-08,Rejected,56,N/A,,26
253,166,16,63,1+4,2023-09-09,Rejected,63,N/A,,36
254,166,49,194,6+6,2023-11-13,Enrolled,63,Approved,2024-04-29,27
255,167,16,63,1+4,2023-12-01,Enrolled,65,Approved,2024-05-25,50
256,167,4,14,6+6,2023-10-23,Accepted,41,Approved,,46
257,168,13,52,6+6,2024-01-04,Under Review,10,Pending,,39
258,168,11,44,6+6,2023-09-04,Enrolled,48,Approved,2024-01-09,39
259,169,2,6,6+6,2023-05-21,Rejected,10,N/A,,14
260,169,10,40,6+6,2023-12-02,Rejected,58,N/A,,1
261,169,10,40,6+6,2024-01-13,Under Review,38,Pending,,11
262,170,27,107,Master/PhD,2023-09-04,Submitted,49,N/A,,46
263,170,8,30,Master/PhD,2023-09-06,Accepted,25,Approved,,34
264,171,14,55,6+6,2023-07-21,Enrolled,59,Approved,2023-12-03,28
265,171,18,69,6+6,2023-10-08,Rejected,54,N/A,,36
266,172,39,156,1+4,2024-01-16,Rejected,13,N/A,,19
267,172,2,5,6+6,2023-11-01,Rejected,68,N/A,,16
268,172,13,52,6+6,2024-07-13,Withdrawn,72,N/A,,19
269,174,21,83,6+6,2023-05-17,Rejected,44,N/A,,47
270,174,8,31,Fall Bachelor,2023-08-25,Enrolled,47,Approved,2024-01-09,38
271,174,12,46,6+6,2023-11-22,Enrolled,32,Pending,2024-03-05,46
272,174,15,58,Fall Bachelor,2023-06-08,Withdrawn,13,N/A,,43
273,178,24,95,1+4,2023-04-24,Rejected,22,N/A,,26
274,181,29,114,6+6,2023-08-31,Rejected,37,N/A,,11
275,181,34,135,6+6,2023-11-06,Rejected,45,N/A,,17
276,181,37,148,6+6,2023-08-30,Rejected,21,N/A,,15
277,183,50,199,6+6,2024-02-05,Enrolled,32,Approved,2024-06-27,47
278,184,47,186,1+4,2024-03-12,Enrolled,27,Approved,2024-07-07,37
279,184,41,164,6+6,2024-01-29,Accepted,21,Approved,,40
280,185,37,146,6+6,2023-12-14,Withdrawn,61,N/A,,28
281,185,3,9,6+6,2023-12-21,Enrolled,58,Pending,2024-06-15,16
282,187,6,22,1+4,2023-12-15,Rejected,64,N/A,,29
283,187,38,149,1+4,2024-01-21,Rejected,39,N/A,,48
284,189,23,90,6+6,2024-04-16,Rejected,10,N/A,,44
285,189,47,188,6+6,2023-11-28,Enrolled,36,Approved,2024-04-23,24
286,189,48,191,1+4,2023-12-04,Rejected,39,N/A,,33
287,190,50,199,6+6,2023-10-26,Withdrawn,27,N/A,,35
288,191,47,187,1+4,2023-11-02,Rejected,55,N/A,,28
289,191,37,146,6+6,2023-11-22,Withdrawn,10,N/A,,17
290,192,15,60,1+4,2023-10-09,Withdrawn,46,N/A,,31
291,193,29,114,6+6,2024-01-07,Rejected,33,N/A,,56
292,193,10,40,6+6,2023-12-27,Withdrawn,32,N/A,,25
293,194,37,145,6+6,2023-10-17,Withdrawn,51,N/A,,43
294,194,25,99,6+6,2023-06-29,Rejected,12,N/A,,33
295,195,36,141,Fall Bachelor,2023-10-19,Under Review,78,Pending,,43
296,195,1,1,Fall Bachelor,2023-12-12,Enrolled,41,Approved,2024-04-13,43
297,195,28,112,Fall Bachelor,2023-11-26,Rejected,41,N/A,,43
298,195,24,96,6+6,2024-08-03,Enrolled,73,Approved,2025-02-08,54
299,196,43,170,6+6,2023-11-13,Rejected,25,N/A,,54
300,197,10,40,6+6,2023-02-21,Rejected,14,N/A,,31
301,197,13,52,6+6,2023-11-23,Submitted,51,N/A,,17
302,197,17,66,1+4,2023-01-09,Rejected,72,N/A,,10
303,198,7,26,1+4,2024-04-11,Enrolled,86,Approved,2024-09-05,37
304,198,43,170,6+6,2024-04-19,Enrolled,81,Approved,2024-10-18,45
305,200,14,55,6+6,2024-01-12,Under Review,49,Pending,,37
306,201,14,53,1+4,2023-09-29,Under Review,41,Pending,,32
307,201,13,51,Fall Bachelor,2023-08-09,Enrolled,38,Approved,2024-01-12,29
308,202,37,146,6+6,2024-08-26,Accepted,61,Approved,,45
309,202,29,116,Fall Bachelor,2023-10-22,Accepted,49,Approved,,37
310,202,3,12,6+6,2023-07-16,Rejected,59,N/A,,47
311,202,39,156,1+4,2023-11-20,Rejected,39,N/A,,58
312,203,4,16,6+6,2023-04-23,Enrolled,32,Approved,2023-09-04,34
313,204,9,35,6+6,2023-08-17,Rejected,78,N/A,,51
314,205,4,16,6+6,2023-08-27,Enrolled,54,Approved,2024-01-20,42
315,207,34,133,1+4,2024-03-10,Enrolled,37,Approved,2024-08-02,41
316,209,24,94,1+4,2023-08-31,Enrolled,32,Approved,2023-12-19,40
317,210,19,75,6+6,2024-05-02,Enrolled,37,Approved,2024-08-22,43
318,211,4,13,6+6,2024-03-11,Enrolled,36,Approved,2024-07-03,32
319,211,40,160,6+6,2023-03-17,Enrolled,26,Approved,2023-08-10,44
320,211,4,16,6+6,2024-11-06,Rejected,45,N/A,,49
321,212,10,39,1+4,2023-11-18,Rejected,48,N/A,,24
322,212,10,40,6+6,2023-07-17,Enrolled,64,Pending,2023-12-20,37
323,212,21,83,6+6,2023-11-06,Rejected,44,N/A,,33
324,213,3,10,6+6,2023-03-06,Submitted,23,N/A,,36
325,213,43,172,Fall Bachelor,2023-08-02,Enrolled,46,Approved,2023-12-19,49
326,213,41,161,1+4,2024-10-15,Enrolled,54,Pending,2025-02-22,53
327,213,26,101,Fall Bachelor,2023-10-26,Enrolled,68,Approved,2024-04-12,45
328,213,18,69,6+6,2023-05-25,Rejected,57,N/A,,47
329,214,39,156,1+4,2023-08-14,Enrolled,73,Approved,2024-02-06,47
330,215,11,42,6+6,2023-03-26,Rejected,27,N/A,,19
331,216,10,37,1+4,2024-09-19,Rejected,62,N/A,,36
332,216,5,19,1+4,2023-09-28,Submitted,41,N/A,,27
333,216,46,184,1+4,2023-05-21,Withdrawn,10,N/A,,34
334,217,4,13,6+6,2024-04-02,Enrolled,47,Approved,2024-08-09,40
335,217,17,66,1+4,2024-03-20,Accepted,83,Approved,,44
336,217,38,150,1+4,2024-06-05,Rejected,45,N/A,,47
337,219,5,17,Fall Bachelor,2024-03-25,Enrolled,74,Approved,2024-08-11,51
338,220,31,123,6+6,2023-09-25,Rejected,90,N/A,,28
339,222,4,16,6+6,2023-03-17,Enrolled,66,Approved,2023-07-27,54
340,223,34,135,6+6,2023-09-10,Enrolled,71,Approved,2024-02-16,56
341,223,3,9,6+6,2023-08-31,Enrolled,23,Pending,2023-12-19,56
342,225,29,115,1+4,2023-09-03,Withdrawn,36,N/A,,20
343,226,9,36,1+4,2024-03-18,Enrolled,22,Approved,2024-06-19,22
344,227,44,176,6+6,2024-03-22,Enrolled,28,Approved,2024-07-31,36
345,227,31,122,6+6,2024-03-01,Enrolled,53,Approved,2024-07-01,33
346,228,19,74,1+4,2024-03-16,Rejected,61,N/A,,31
347,228,43,170,6+6,2024-03-21,Rejected,10,N/A,,15
348,228,40,160,6+6,2024-02-26,Rejected,30,N/A,,35
349,228,18,70,6+6,2024-01-27,Under Review,65,Pending,,19
350,228,4,13,6+6,2024-04-19,Under Review,49,Pending,,19
351,229,31,121,1+4,2023-04-11,Under Review,38,Pending,,41
352,229,34,133,1+4,2024-04-06,Rejected,10,N/A,,49
353,230,15,57,1+4,2024-02-06,Enrolled,68,Approved,2024-08-07,26
354,231,50,197,Master/PhD,2023-09-26,Accepted,48,Approved,,49
355,232,20,79,6+6,2024-03-23,Rejected,33,N/A,,38
356,233,12,48,Fall Bachelor,2023-08-27,Enrolled,93,Approved,2024-03-20,34
357,234,37,146,6+6,2023-07-06,Withdrawn,76,N/A,,34
358,236,32,125,1+4,2023-05-23,Withdrawn,36,N/A,,28
359,236,43,171,Fall Bachelor,2023-08-24,Accepted,76,Pending,,36
360,237,16,63,1+4,2023-08-16,Enrolled,34,Approved,2024-01-17,30
361,237,46,181,6+6,2023-10-09,Rejected,68,N/A,,31
362,238,18,69,6+6,2023-06-24,Enrolled,10,Approved,2023-10-28,48
363,239,19,75,6+6,2024-02-28,Under Review,10,Pending,,44
364,240,3,9,6+6,2024-03-29,Rejected,68,N/A,,27
365,240,37,148,6+6,2024-01-09,Enrolled,17,Approved,2024-05-02,53
366,240,22,85,6+6,2023-12-19,Enrolled,42,Approved,2024-05-19,37
367,241,49,196,1+4,2023-08-30,Rejected,36,N/A,,33
368,241,30,120,6+6,2023-08-09,Enrolled,15,Approved,2023-10-23,35
369,241,35,140,6+6,2023-12-23,Enrolled,10,Approved,2024-04-05,51
370,244,47,188,6+6,2023-10-16,Enrolled,47,Pending,2024-02-04,37
371,244,37,147,1+4,2024-01-13,Rejected,76,N/A,,10
372,245,20,78,6+6,2024-02-09,Submitted,25,N/A,,33
373,246,21,82,Fall Bachelor,2024-06-14,Enrolled,49,Approved,2024-11-22,38
374,246,26,101,Fall Bachelor,2023-08-17,Withdrawn,31,N/A,,33
