program_id,uni_id,program_name,anko_program_type,field,degree_level,duration_years,tuition_yuan,language,min_hsk_required,min_hsk_score_required
117,30,Law,Master/PhD,Humanities,Master,2.0,48489,Chinese,4,180
118,30,Information Engineering,Fall Bachelor,Engineering,Bachelor,4.0,37915,Chinese,4,120
119,30,Materials Science and Engineering,Master/PhD,Engineering,Master,2.0,37634,Both,4,180
120,30,Accounting,6+6,Business,Language Prep + Bachelor Track,1.5,22330,Chinese,0,0
121,31,Finance,1+4,Business,Language Prep + Bachelor,5.0,23862,Chinese,0,0
122,31,Design,6+6,Arts,Language Prep + Bachelor Track,1.3,23527,Chinese,0,0
123,31,Dentistry,6+6,Medicine,Language Prep + Bachelor Track,1.1,25583,Chinese,0,0
124,31,Pharmacy,1+4,Medicine,Language Prep + Bachelor,5.0,31784,Chinese,0,0
125,32,Accounting,1+4,Business,Language Prep + Bachelor,5.0,22301,Chinese,0,0
126,32,Mechanical Engineering,1+4,Engineering,Language Prep + Bachelor,5.0,29024,Chinese,0,0
127,32,Electrical Engineering,1+4,Engineering,Language Prep + Bachelor,5.0,27159,Chinese,0,0
128,32,Civil Engineering,1+4,Engineering,Language Prep + Bachelor,5.0,25263,Chinese,0,0
129,33,Education,1+4,Humanities,Language Prep + Bachelor,5.0,28807,Chinese,0,0
130,33,Nursing,Fall Bachelor,Medicine,Bachelor,4.0,28168,Chinese,4,120
131,33,Accounting,6+6,Business,Language Prep + Bachelor Track,1.3,24467,Chinese,0,0
132,33,Environmental Science,Master/PhD,Science,Master,2.0,53996,English,0,0
133,34,Nursing,1+4,Medicine,Language Prep + Bachelor,5.0,32561,Chinese,0,0
134,34,Computer Science and Technology,Fall Bachelor,Engineering,Bachelor,4.0,23297,Chinese,4,120
135,34,Architecture,6+6,Engineering,Language Prep + Bachelor Track,1.2,20673,Chinese,0,0
136,34,Sociology,Fall Bachelor,Humanities,Bachelor,4.0,22264,Both,4,120
137,35,Public Health,1+4,Medicine,Language Prep + Bachelor,5.0,22304,Chinese,0,0
138,35,Civil Engineering,Master/PhD,Engineering,Master,2.0,42734,Both,4,180
139,35,Finance,Fall Bachelor,Business,Bachelor,4.0,35556,Chinese,4,120
140,35,Mechanical Engineering,6+6,Engineering,Language Prep + Bachelor Track,1.3,21734,Chinese,0,0
141,36,Software Engineering,Fall Bachelor,Engineering,Bachelor,4.0,38567,Chinese,4,120
142,36,Geology,Master/PhD,Science,PhD,4.0,41777,English,0,0
143,36,Automation,1+4,Engineering,Language Prep + Bachelor,5.0,31330,Chinese,0,0
144,36,Traditional Chinese Medicine,6+6,Medicine,Language Prep + Bachelor Track,1.5,19205,Chinese,0,0
145,37,Architecture,6+6,Engineering,Language Prep + Bachelor Track,1.2,19863,Chinese,0,0
146,37,Marketing,6+6,Business,Language Prep + Bachelor Track,1.1,21946,Chinese,0,0
147,37,Geology,1+4,Science,Language Prep + Bachelor,5.0,29564,Chinese,0,0
148,37,Accounting,6+6,Business,Language Prep + Bachelor Track,1.3,18464,Chinese,0,0
149,38,Traditional Chinese Medicine,1+4,Medicine,Language Prep + Bachelor,5.0,32668,Chinese,0,0
150,38,Psychology,1+4,Humanities,Language Prep + Bachelor,5.0,32781,Chinese,0,0
151,38,Physics,Fall Bachelor,Science,Bachelor,4.0,32568,Chinese,4,120
152,38,Nursing,6+6,Medicine,Language Prep + Bachelor Track,1.2,25986,Chinese,0,0
153,39,Management Science,6+6,Business,Language Prep + Bachelor Track,1.2,20532,Chinese,0,0
154,39,Information Engineering,Master/PhD,Engineering,Master,2.0,47954,Chinese,4,180
155,39,Mechanical Engineering,Fall Bachelor,Engineering,Bachelor,4.0,27004,Chinese,4,120
156,39,Chinese Language and Literature,1+4,Language,Language Prep + Bachelor,5.0,33186,Chinese,0,0
157,40,Journalism,Master/PhD,Humanities,Master,3.0,53460,Both,4,180
158,40,Mathematics,Fall Bachelor,Science,Bachelor,4.0,24053,Chinese,4,120
159,40,Management Science,Master/PhD,Business,Master,3.0,54644,Chinese,4,180
160,40,Psychology,6+6,Humanities,Language Prep + Bachelor Track,1.1,20382,Chinese,0,0
161,41,International Relations,1+4,Humanities,Language Prep + Bachelor,5.0,33125,Chinese,0,0
162,41,Traditional Chinese Medicine,Master/PhD,Medicine,Master,3.0,32544,Both,4,180
163,41,Accounting,Master/PhD,Business,Master,3.0,31651,Chinese,4,180
164,41,Mechanical Engineering,6+6,Engineering,Language Prep + Bachelor Track,1.3,24102,Chinese,0,0
165,42,Psychology,Fall Bachelor,Humanities,Bachelor,4.0,35318,Chinese,4,120
166,42,Materials Science and Engineering,6+6,Engineering,Language Prep + Bachelor Track,1.3,19869,Chinese,0,0
167,42,Automation,1+4,Engineering,Language Prep + Bachelor,5.0,23944,Chinese,0,0
168,42,Chemical Engineering,1+4,Engineering,Language Prep + Bachelor,5.0,30497,Chinese,0,0
169,43,Management Science,6+6,Business,Language Prep + Bachelor Track,1.4,22194,Chinese,0,0
170,43,Chemistry,6+6,Science,Language Prep + Bachelor Track,1.3,21592,Chinese,0,0
171,43,Mechanical Engineering,Fall Bachelor,Engineering,Bachelor,4.0,37595,Chinese,4,120
172,43,Pharmacy,Fall Bachelor,Medicine,Bachelor,4.0,29648,Both,4,120
173,44,Materials Science and Engineering,1+4,Engineering,Language Prep + Bachelor,5.0,28013,Chinese,0,0
174,44,International Business,Master/PhD,Business,Master,2.0,41771,English,0,0
175,44,Physics,6+6,Science,Language Prep + Bachelor Track,1.2,21975,Chinese,0,0
176,44,Electrical Engineering,6+6,Engineering,Language Prep + Bachelor Track,1.2,19616,Chinese,0,0
177,45,Management Science,1+4,Business,Language Prep + Bachelor,5.0,25149,Chinese,0,0
178,45,Film and Television,1+4,Arts,Language Prep + Bachelor,5.0,31280,Chinese,0,0
179,45,Electrical Engineering,6+6,Engineering,Language Prep + Bachelor Track,1.2,25176,Chinese,0,0
180,45,Physics,Fall Bachelor,Science,Bachelor,4.0,31532,Chinese,4,120
181,46,International Business,6+6,Business,Language Prep + Bachelor Track,1.2,20395,Chinese,0,0
182,46,Electrical Engineering,6+6,Engineering,Language Prep + Bachelor Track,1.3,24995,Chinese,0,0
183,46,Education,1+4,Humanities,Language Prep + Bachelor,5.0,31758,Chinese,0,0
184,46,Traditional Chinese Medicine,1+4,Medicine,Language Prep + Bachelor,5.0,34921,Chinese,0,0
185,47,Psychology,Fall Bachelor,Humanities,Bachelor,4.0,38246,Chinese,4,120
186,47,Finance,1+4,Business,Language Prep + Bachelor,5.0,21528,Chinese,0,0
187,47,Film and Television,1+4,Arts,Language Prep + Bachelor,5.0,27691,Chinese,0,0
188,47,Industrial Engineering,6+6,Engineering,Language Prep + Bachelor Track,1.0,25679,Chinese,0,0
189,48,Architecture,1+4,Engineering,Language Prep + Bachelor,5.0,20983,Chinese,0,0
190,48,Marketing,6+6,Business,Language Prep + Bachelor Track,1.1,20500,Chinese,0,0
191,48,Public Health,1+4,Medicine,Language Prep + Bachelor,5.0,20907,Chinese,0,0
192,48,Industrial Engineering,6+6,Engineering,Language Prep + Bachelor Track,1.2,20416,Chinese,0,0
193,49,Electrical Engineering,Fall Bachelor,Engineering,Bachelor,4.0,24017,Chinese,4,120
194,49,Finance,6+6,Business,Language Prep + Bachelor Track,1.2,21916,Chinese,0,0
195,49,Journalism,6+6,Humanities,Language Prep + Bachelor Track,1.2,24730,Chinese,0,0
196,49,Industrial Engineering,1+4,Engineering,Language Prep + Bachelor,5.0,27198,Chinese,0,0
197,50,Materials Science and Engineering,Master/PhD,Engineering,PhD,3.0,55919,English,0,0
198,50,Chemical Engineering,6+6,Engineering,Language Prep + Bachelor Track,1.1,18164,Chinese,0,0
199,50,Industrial Engineering,6+6,Engineering,Language Prep + Bachelor Track,1.0,19228,Chinese,0,0
200,50,International Business,6+6,Business,Language Prep + Bachelor Track,1.3,19845,Chinese,0,0
